county_name,race_description,cand_name,precinct_code,cand_tot_votes
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,70023,252
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,70023,83
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,70025,624
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,70025,175
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,70026,405
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,70026,102
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,70027,635
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,70027,149
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,70028,45
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,70028,9
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,70029,122
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,70029,43
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,70033,1043
BRYAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,70033,210
CADDO,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,80012,93
CADDO,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,80012,178
CADDO,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,80022,189
CADDO,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,80022,158
CADDO,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,80031,129
CADDO,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,80031,135
CADDO,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,80041,421
CADDO,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,80041,254
CADDO,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,80051,508
CADDO,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,80051,354
CADDO,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,80102,613
CADDO,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,80102,230
CADDO,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,80509,304
CADDO,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,80509,77
CADDO,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,80510,511
CADDO,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,80510,110
CADDO,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,80511,587
CADDO,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,80511,236
CADDO,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,80712,353
CADDO,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,80712,121
CADDO,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,80715,73
CADDO,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,80715,24
CADDO,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,80810,169
CADDO,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,80810,49
CADDO,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,80811,257
CADDO,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,80811,72
CADDO,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,80812,151
CADDO,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,80812,51
CADDO,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,81009,239
CADDO,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,81009,48
CADDO,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,81010,361
CADDO,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,81010,69
CADDO,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,81011,258
CADDO,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,81011,51
CADDO,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,81013,245
CADDO,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,81013,53
CADDO,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,81111,760
CADDO,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,81111,113
CADDO,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,81213,261
CADDO,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,81213,37
CANADIAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,90100,565
CANADIAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,90100,178
CANADIAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,90102,131
CANADIAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,90102,41
CANADIAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,90106,602
CANADIAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,90106,272
CANADIAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,90107,276
CANADIAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,90107,78
CANADIAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,90109,107
CANADIAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,90109,30
CANADIAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,90114,530
CANADIAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,90114,154
CANADIAN,FOR PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP | MICHAEL R. PENCE,90116,605
CANADIAN,FOR PRESIDENT AND VICE PRESIDENT,HILLARY CLINTON | TIM KAINE,90116,375
